"행정구역","2025년09월_총인구수","2025년09월_세대수","2025년09월_세대당 인구","2025년09월_남자 인구수","2025년09월_여자 인구수","2025년09월_남여 비율"
"경기도 군포시 (4141000000)","252,284","111,832","          2.26","125,069","127,215","          0.98"
"경기도 의왕시 (4143000000)","158,229","64,996","          2.43","78,144","80,085","          0.98"
"경기도 하남시 (4145000000)","327,792","140,887","          2.33","162,757","165,035","          0.99"
"경기도 용인시 (4146000000)","1,092,574","449,521","          2.43","541,218","551,356","          0.98"
"경기도 용인시 처인구 (4146100000)","283,396","129,925","          2.18","145,053","138,343","          1.05"
"경기도 용인시 기흥구 (4146300000)","434,543","176,850","          2.46","213,975","220,568","          0.97"
"경기도 용인시 수지구 (4146500000)","374,635","142,746","          2.62","182,190","192,445","          0.95"
"경기도 파주시 (4148000000)","522,654","231,536","          2.26","263,511","259,143","          1.02"
"경기도 이천시 (4150000000)","224,219","107,739","          2.08","117,116","107,103","          1.09"
"경기도 안성시 (4155000000)","196,691","97,034","          2.03","101,674","95,017","          1.07"
"경기도 김포시 (4157000000)","484,512","206,703","          2.34","241,732","242,780","          1.00"
"경기도 화성시 (4159000000)","986,712","426,754","          2.31","511,670","475,042","          1.08"
"경기도 화성시동부출장소 (4159200000)","0","0","          0.00","0","0","          0.00"
"경기도 화성시동탄출장소 (4159400000)","0","0","          0.00","0","0","          0.00"
"경기도 광주시 (4161000000)","397,494","175,877","          2.26","202,504","194,990","          1.04"
"경기도 양주시 (4163000000)","294,789","131,602","          2.24","148,257","146,532","          1.01"
"경기도 포천시 (4165000000)","140,741","73,520","          1.91","74,469","66,272","          1.12"
"경기도 여주시 (4167000000)","114,134","56,782","          2.01","58,150","55,984","          1.04"
"경기도 연천군 (4180000000)","41,027","21,910","          1.87","21,425","19,602","          1.09"
"경기도 가평군 (4182000000)","62,229","33,098","          1.88","31,990","30,239","          1.06"
"경기도 양평군 (4183000000)","127,163","63,511","          2.00","63,964","63,199","          1.01"
"강원특별자치도  (5100000000)","1,509,396","767,540","          1.97","758,966","750,430","          1.01"
"강원특별자치도 춘천시 (5111000000)","285,162","137,717","          2.07","140,549","144,613","          0.97"
"강원특별자치도 원주시 (5113000000)","362,881","175,582","          2.07","179,711","183,170","          0.98"
"강원특별자치도 강릉시 (5115000000)","206,942","105,090","          1.97","102,537","104,405","          0.98"
"강원특별자치도 동해시 (5117000000)","86,602","43,547","          1.99","43,964","42,638","          1.03"
"강원특별자치도 태백시 (5119000000)","37,376","20,180","          1.85","18,878","18,498","          1.02"
"강원특별자치도 속초시 (5121000000)","79,960","41,160","          1.94","39,526","40,434","          0.98"
"강원특별자치도 삼척시 (5123000000)","60,932","33,490","          1.82","31,078","29,854","          1.04"
"강원특별자치도 홍천군 (5172000000)","66,341","35,078","          1.89","34,208","32,133","          1.06"
"강원특별자치도 횡성군 (5173000000)","45,765","24,091","          1.90","23,599","22,166","          1.06"
"강원특별자치도 영월군 (5175000000)","36,296","21,007","          1.73","18,822","17,474","          1.08"
"강원특별자치도 평창군 (5176000000)","39,893","22,006","          1.81","20,699","19,194","          1.08"
"강원특별자치도 정선군 (5177000000)","33,266","19,129","          1.74","17,365","15,901","          1.09"
"강원특별자치도 철원군 (5178000000)","39,994","20,228","          1.98","20,635","19,359","          1.07"
"강원특별자치도 화천군 (5179000000)","22,504","12,003","          1.87","12,075","10,429","          1.16"
"강원특별자치도 양구군 (5180000000)","20,466","10,405","          1.97","10,740","9,726","          1.10"
"강원특별자치도 인제군 (5181000000)","30,894","16,575","          1.86","16,901","13,993","          1.21"
"강원특별자치도 고성군 (5182000000)","26,776","15,322","          1.75","13,705","13,071","          1.05"
"강원특별자치도 양양군 (5183000000)","27,346","14,930","          1.83","13,974","13,372","          1.05"
"충청북도  (4300000000)","1,592,431","794,981","          2.00","811,457","780,974","          1.04"
"충청북도 청주시 (4311000000)","857,192","408,963","          2.10","433,652","423,540","          1.02"
"충청북도 청주시 상당구 (4311100000)","196,148","89,541","          2.19","97,420","98,728","          0.99"
"충청북도 청주시 서원구 (4311200000)","180,433","88,554","          2.04","90,003","90,430","          1.00"
"충청북도 청주시 흥덕구 (4311300000)","292,227","139,819","          2.09","149,052","143,175","          1.04"
"충청북도 청주시 청원구 (4311400000)","188,384","91,049","          2.07","97,177","91,207","          1.07"
"충청북도 충주시 (4313000000)","207,063","104,605","          1.98","104,987","102,076","          1.03"
"충청북도 제천시 (4315000000)","128,049","66,274","          1.93","64,609","63,440","          1.02"
"충청북도 보은군 (4372000000)","30,309","16,798","          1.80","15,435","14,874","          1.04"
"충청북도 옥천군 (4373000000)","48,373","25,749","          1.88","24,498","23,875","          1.03"
"충청북도 영동군 (4374000000)","42,819","23,606","          1.81","21,580","21,239","          1.02"
"충청북도 증평군 (4374500000)","37,129","19,093","          1.94","19,368","17,761","          1.09"
"충청북도 진천군 (4375000000)","85,971","42,901","          2.00","45,440","40,531","          1.12"
"충청북도 괴산군 (4376000000)","35,675","21,253","          1.68","18,513","17,162","          1.08"
"충청북도 음성군 (4377000000)","92,908","50,495","          1.84","49,619","43,289","          1.15"
"충청북도 단양군 (4380000000)","26,943","15,244","          1.77","13,756","13,187","          1.04"
"충청남도  (4400000000)","2,136,551","1,061,546","          2.01","1,096,785","1,039,766","          1.05"
"충청남도 천안시 (4413000000)","663,595","317,455","          2.09","340,331","323,264","          1.05"
"충청남도 천안시 동남구 (4413100000)","262,257","127,372","          2.06","132,875","129,382","          1.03"
"충청남도 천안시 서북구 (4413300000)","401,338","190,083","          2.11","207,456","193,882","          1.07"
"충청남도 공주시 (4415000000)","100,449","53,822","          1.87","50,078","50,371","          0.99"
"충청남도 보령시 (4418000000)","92,431","49,001","          1.89","46,817","45,614","          1.03"
"충청남도 아산시 (4420000000)","358,397","167,749","          2.14","186,957","171,440","          1.09"
"충청남도 서산시 (4421000000)","172,903","84,273","          2.05","90,599","82,304","          1.10"
"충청남도 논산시 (4423000000)","107,103","57,124","          1.87","53,696","53,407","          1.01"
"충청남도 계룡시 (4425000000)","46,032","19,554","          2.35","22,942","23,090","          0.99"
"충청남도 당진시 (4427000000)","172,587","86,020","          2.01","92,679","79,908","          1.16"
"충청남도 금산군 (4471000000)","49,096","26,678","          1.84","24,967","24,129","          1.03"
"충청남도 부여군 (4476000000)","58,638","32,214","          1.82","29,231","29,407","          0.99"
"충청남도 서천군 (4477000000)","47,444","26,184","          1.81","23,585","23,859","          0.99"
"충청남도 청양군 (4479000000)","29,078","16,571","          1.75","14,883","14,195","          1.05"
"충청남도 홍성군 (4480000000)","100,154","50,228","          1.99","50,116","50,038","          1.00"
"충청남도 예산군 (4481000000)","78,970","41,243","          1.91","39,677","39,293","          1.01"
"충청남도 태안군 (4482500000)","59,674","33,430","          1.79","30,227","29,447","          1.03"
"전북특별자치도  (5200000000)","1,727,716","868,058","          1.99","860,760","866,956","          0.99"
"전북특별자치도 전주시 (5211000000)","628,663","297,120","          2.12","308,311","320,352","          0.96"
"전북특별자치도 전주시 완산구 (5211100000)","317,981","152,889","          2.08","154,010","163,971","          0.94"
"전북특별자치도 전주시 덕진구 (5211300000)","310,682","144,231","          2.15","154,301","156,381","          0.99"
"전북특별자치도 군산시 (5213000000)","256,556","125,930","          2.04","130,248","126,308","          1.03"
"전북특별자치도 익산시 (5214000000)","267,505","132,661","          2.02","133,092","134,413","          0.99"
"전북특별자치도 정읍시 (5218000000)","100,833","54,321","          1.86","50,379","50,454","          1.00"
"전북특별자치도 남원시 (5219000000)","74,715","39,907","          1.87","36,712","38,003","          0.97"
"전북특별자치도 김제시 (5221000000)","81,586","44,300","          1.84","40,917","40,669","          1.01"
"전북특별자치도 완주군 (5271000000)","100,376","50,254","          2.00","51,559","48,817","          1.06"
"전북특별자치도 진안군 (5272000000)","24,205","13,770","          1.76","12,385","11,820","          1.05"
"전북특별자치도 무주군 (5273000000)","22,810","13,004","          1.75","11,461","11,349","          1.01"
"전북특별자치도 장수군 (5274000000)","20,395","11,512","          1.77","10,283","10,112","          1.02"
"전북특별자치도 임실군 (5275000000)","25,297","14,819","          1.71","13,077","12,220","          1.07"
"전북특별자치도 순창군 (5277000000)","26,741","14,647","          1.83","13,199","13,542","          0.97"
"전북특별자치도 고창군 (5279000000)","50,595","28,507","          1.77","25,367","25,228","          1.01"
"전북특별자치도 부안군 (5280000000)","47,439","27,306","          1.74","23,770","23,669","          1.00"
"전라남도  (4600000000)","1,779,599","913,933","          1.95","898,858","880,741","          1.02"
"전라남도 목포시 (4611000000)","204,832","103,431","          1.98","101,779","103,053","          0.99"
"전라남도 여수시 (4613000000)","264,298","127,799","          2.07","134,423","129,875","          1.04"
"전라남도 순천시 (4615000000)","275,071","127,593","          2.16","137,384","137,687","          1.00"
"전라남도 나주시 (4617000000)","117,195","60,278","          1.94","59,271","57,924","          1.02"
"전라남도 광양시 (4623000000)","155,297","73,201","          2.12","81,527","73,770","          1.11"
"전라남도 담양군 (4671000000)","44,195","24,000","          1.84","22,342","21,853","          1.02"
"전라남도 곡성군 (4672000000)","26,597","15,591","          1.71","13,276","13,321","          1.00"
"전라남도 구례군 (4673000000)","23,841","13,416","          1.78","11,650","12,191","          0.96"
"전라남도 고흥군 (4677000000)","59,669","35,126","          1.70","29,476","30,193","          0.98"
"전라남도 보성군 (4678000000)","36,684","21,679","          1.69","18,039","18,645","          0.97"
"전라남도 화순군 (4679000000)","60,384","31,684","          1.91","29,933","30,451","          0.98"
"전라남도 장흥군 (4680000000)","34,210","19,683","          1.74","16,835","17,375","          0.97"
"전라남도 강진군 (4681000000)","31,728","18,078","          1.76","15,562","16,166","          0.96"
"전라남도 해남군 (4682000000)","62,297","34,392","          1.81","31,280","31,017","          1.01"
"전라남도 영암군 (4683000000)","50,264","28,407","          1.77","26,444","23,820","          1.11"
"전라남도 무안군 (4684000000)","95,567","46,377","          2.06","48,115","47,452","          1.01"
"전라남도 함평군 (4686000000)","29,541","17,648","          1.67","15,074","14,467","          1.04"
"전라남도 영광군 (4687000000)","53,191","28,497","          1.87","26,643","26,548","          1.00"
"전라남도 장성군 (4688000000)","42,881","23,562","          1.82","22,007","20,874","          1.05"
"전라남도 완도군 (4689000000)","44,838","25,155","          1.78","22,722","22,116","          1.03"
"전라남도 진도군 (4690000000)","28,136","16,383","          1.72","14,079","14,057","          1.00"
"전라남도 신안군 (4691000000)","38,883","21,953","          1.77","20,997","17,886","          1.17"
"경상북도  (4700000000)","2,512,441","1,296,514","          1.94","1,271,548","1,240,893","          1.02"
"경상북도 포항시 (4711000000)","489,064","238,128","          2.05","248,055","241,009","          1.03"
"경상북도 포항시 남구 (4711100000)","216,737","109,082","          1.99","112,481","104,256","          1.08"
"경상북도 포항시 북구 (4711300000)","272,327","129,046","          2.11","135,574","136,753","          0.99"
"경상북도 경주시 (4713000000)","244,215","126,376","          1.93","122,253","121,962","          1.00"
"경상북도 김천시 (4715000000)","134,427","69,291","          1.94","67,748","66,679","          1.02"
"경상북도 안동시 (4717000000)","153,399","81,289","          1.89","75,970","77,429","          0.98"
"경상북도 구미시 (4719000000)","404,157","192,882","          2.10","208,872","195,285","          1.07"
"경상북도 영주시 (4721000000)","97,548","51,354","          1.90","48,520","49,028","          0.99"
"경상북도 영천시 (4723000000)","95,914","54,102","          1.77","49,081","46,833","          1.05"
"경상북도 상주시 (4725000000)","90,400","48,923","          1.85","44,710","45,690","          0.98"
"경상북도 문경시 (4728000000)","65,755","36,219","          1.82","32,314","33,441","          0.97"
"경상북도 경산시 (4729000000)","265,042","132,452","          2.00","133,154","131,888","          1.01"
"경상북도 의성군 (4773000000)","48,001","29,088","          1.65","24,054","23,947","          1.00"
"경상북도 청송군 (4775000000)","23,491","13,979","          1.68","11,826","11,665","          1.01"
"경상북도 영양군 (4776000000)","15,185","8,930","          1.70","7,570","7,615","          0.99"
"경상북도 영덕군 (4777000000)","32,840","19,452","          1.69","15,748","17,092","          0.92"
"경상북도 청도군 (4782000000)","40,198","23,462","          1.71","20,056","20,142","          1.00"
"경상북도 고령군 (4783000000)","29,662","17,302","          1.71","15,315","14,347","          1.07"
"경상북도 성주군 (4784000000)","40,872","23,984","          1.70","21,381","19,491","          1.10"
"경상북도 칠곡군 (4785000000)","105,190","53,481","          1.97","55,339","49,851","          1.11"
"경상북도 예천군 (4790000000)","54,013","28,008","          1.93","26,712","27,301","          0.98"
"경상북도 봉화군 (4792000000)","28,322","16,506","          1.72","14,463","13,859","          1.04"
"경상북도 울진군 (4793000000)","45,925","25,774","          1.78","23,425","22,500","          1.04"
"경상북도 울릉군 (4794000000)","8,821","5,532","          1.59","4,982","3,839","          1.30"
"경상남도  (4800000000)","3,210,425","1,546,862","          2.08","1,618,878","1,591,547","          1.02"
"경상남도 창원시 (4812000000)","992,802","462,129","          2.15","502,344","490,458","          1.02"
"경상남도 창원시 의창구 (4812100000)","208,584","97,977","          2.13","106,059","102,525","          1.03"
"경상남도 창원시 성산구 (4812300000)","244,467","108,653","          2.25","124,718","119,749","          1.04"
"경상남도 창원시 마산합포구 (4812500000)","176,338","86,662","          2.03","87,348","88,990","          0.98"
"경상남도 창원시 마산회원구 (4812700000)","177,652","83,268","          2.13","88,416","89,236","          0.99"
"경상남도 창원시 진해구 (4812900000)","185,761","85,569","          2.17","95,803","89,958","          1.06"
"경상남도 진주시 (4817000000)","336,964","162,395","          2.07","166,546","170,418","          0.98"
"경상남도 통영시 (4822000000)","117,099","59,338","          1.97","58,837","58,262","          1.01"
"경상남도 사천시 (4824000000)","108,166","56,044","          1.93","54,951","53,215","          1.03"
"경상남도 사천남양출장소 (4824500000)","0","0","          0.00","0","0","          0.00"
"경상남도 김해시 (4825000000)","532,894","237,955","          2.24","269,479","263,415","          1.02"
"경상남도 장유출장소 (4825200000)","0","0","          0.00","0","0","          0.00"
"경상남도 밀양시 (4827000000)","99,477","54,040","          1.84","49,312","50,165","          0.98"
"경상남도 거제시 (4831000000)","231,319","106,912","          2.16","121,560","109,759","          1.11"
"경상남도 양산시 (4833000000)","360,574","165,227","          2.18","180,612","179,962","          1.00"
"경상남도 양산시웅상출장소 (4833200000)","0","0","          0.00","0","0","          0.00"
"경상남도 의령군 (4872000000)","24,671","14,775","          1.67","12,357","12,314","          1.00"
"경상남도 함안군 (4873000000)","57,725","29,965","          1.93","29,622","28,103","          1.05"
"경상남도 창녕군 (4874000000)","55,010","31,693","          1.74","27,667","27,343","          1.01"
"경상남도 고성군 (4882000000)","47,241","26,320","          1.79","23,960","23,281","          1.03"
"경상남도 남해군 (4884000000)","39,296","22,141","          1.77","19,166","20,130","          0.95"
"경상남도 하동군 (4885000000)","40,170","23,308","          1.72","20,177","19,993","          1.01"
"경상남도 산청군 (4886000000)","32,918","19,612","          1.68","16,348","16,570","          0.99"
"경상남도 함양군 (4887000000)","35,553","20,302","          1.75","17,359","18,194","          0.95"
"경상남도 거창군 (4888000000)","59,160","31,255","          1.89","29,152","30,008","          0.97"
"경상남도 합천군 (4889000000)","39,386","23,451","          1.68","19,429","19,957","          0.97"
"제주특별자치도  (5000000000)","665,610","315,381","          2.11","332,517","333,093","          1.00"
"제주특별자치도 제주시 (5011000000)","485,634","226,550","          2.14","242,001","243,633","          0.99"
"제주특별자치도 서귀포시 (5013000000)","179,976","88,831","          2.03","90,516","89,460","          1.01" 
